DRAM_GB,capacity_embeddings,dataset,reuse,policy,hits,misses,hit_rate,energy_nJ_per_query,ttft_us_per_query,edp_pJ_ns
2.0,2000000,quora,1.91,opt,476042,523958,0.476,202999926.7,20434.76,4.15e+18
2.0,2000000,fever,2.41,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
2.0,2000000,fever,2.41,lfu,583822,416178,0.584,202999864.5,20434.76,4.15e+18
2.0,2000000,fever,2.41,opt,583822,416178,0.584,202999864.5,20434.76,4.15e+18
2.0,2000000,fiqa,4.47,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
2.0,2000000,fiqa,4.47,lfu,768953,231047,0.769,202999757.7,20434.76,4.15e+18
2.0,2000000,fiqa,4.47,opt,768953,231047,0.769,202999757.7,20434.76,4.15e+18
4.0,2000000,nq,1.25,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
4.0,2000000,nq,1.25,lfu,212939,787061,0.213,203000078.5,20434.77,4.15e+18
4.0,2000000,nq,1.25,opt,212939,787061,0.213,203000078.5,20434.77,4.15e+18
4.0,2000000,hotpotqa,1.42,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
4.0,2000000,hotpotqa,1.42,lfu,295586,704414,0.296,203000030.8,20434.77,4.15e+18
4.0,2000000,hotpotqa,1.42,opt,295586,704414,0.296,203000030.8,20434.77,4.15e+18
4.0,2000000,scidocs,1.73,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
4.0,2000000,scidocs,1.73,lfu,421815,578185,0.422,202999958.0,20434.76,4.15e+18
4.0,2000000,scidocs,1.73,opt,421815,578185,0.422,202999958.0,20434.76,4.15e+18
4.0,2000000,quora,1.91,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
4.0,2000000,quora,1.91,lfu,476042,523958,0.476,202999926.7,20434.76,4.15e+18
4.0,2000000,quora,1.91,opt,476042,523958,0.476,202999926.7,20434.76,4.15e+18
4.0,2000000,fever,2.41,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
4.0,2000000,fever,2.41,lfu,583822,416178,0.584,202999864.5,20434.76,4.15e+18
4.0,2000000,fever,2.41,opt,583822,416178,0.584,202999864.5,20434.76,4.15e+18
4.0,2000000,fiqa,4.47,no_cache,0,1000000,0.000,203000201.3,20434.77,4.15e+18
4.0,2000000,fiqa,4.47,lfu,768953,231047,0.769,202999757.7,20434.76,4.15e+18
4.0,2000000,fiqa,4.47,opt,768953,231047,0.769,202999757.7,20434.76,4.15e+18
