dataset,reuse_target,actual_reuse,main_memory_gb,policy,policy_label,h2,h_dram,h_disk,hit_rate,h2_rate,h_dram_rate,h_disk_rate,total_energy_mJ,total_latency_ms,energy_nJ_per_query,latency_us_per_query
nq,1.25,1.2705495507972062,1,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
nq,1.25,1.2705495507972062,1,dram_lfu,DRAM LFU,0,212939,787061,0.212939,0.0,0.212939,0.787061,62.61365000000001,78707.72581433224,626.1365,787.0772581433224
nq,1.25,1.2705495507972062,1,opt,OPT,0,212939,787061,0.212939,0.0,0.212939,0.787061,62.61365000000001,78707.72581433224,626.1365,787.0772581433224
nq,1.25,1.2705495507972062,2,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
nq,1.25,1.2705495507972062,2,dram_lfu,DRAM LFU,0,212939,787061,0.212939,0.0,0.212939,0.787061,62.61365000000001,78707.72581433224,626.1365,787.0772581433224
nq,1.25,1.2705495507972062,2,opt,OPT,0,212939,787061,0.212939,0.0,0.212939,0.787061,62.61365000000001,78707.72581433224,626.1365,787.0772581433224
nq,1.25,1.2705495507972062,4,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
nq,1.25,1.2705495507972062,4,dram_lfu,DRAM LFU,0,212939,787061,0.212939,0.0,0.212939,0.787061,62.61365000000001,78707.72581433224,626.1365,787.0772581433224
nq,1.25,1.2705495507972062,4,opt,OPT,0,212939,787061,0.212939,0.0,0.212939,0.787061,62.61365000000001,78707.72581433224,626.1365,787.0772581433224
nq,1.25,1.2705495507972062,8,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
nq,1.25,1.2705495507972062,8,dram_lfu,DRAM LFU,0,212939,787061,0.212939,0.0,0.212939,0.787061,62.61365000000001,78707.72581433224,626.1365,787.0772581433224
nq,1.25,1.2705495507972062,8,opt,OPT,0,212939,787061,0.212939,0.0,0.212939,0.787061,62.61365000000001,78707.72581433224,626.1365,787.0772581433224
nq,1.25,1.2705495507972062,16,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
nq,1.25,1.2705495507972062,16,dram_lfu,DRAM LFU,0,212939,787061,0.212939,0.0,0.212939,0.787061,62.61365000000001,78707.72581433224,626.1365,787.0772581433224
nq,1.25,1.2705495507972062,16,opt,OPT,0,212939,787061,0.212939,0.0,0.212939,0.787061,62.61365000000001,78707.72581433224,626.1365,787.0772581433224
hotpotqa,1.42,1.4196197122714767,1,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
hotpotqa,1.42,1.4196197122714767,1,dram_lfu,DRAM LFU,0,295586,704414,0.295586,0.0,0.295586,0.704414,61.787180000000006,70443.02581433224,617.8718,704.4302581433225
hotpotqa,1.42,1.4196197122714767,1,opt,OPT,0,295586,704414,0.295586,0.0,0.295586,0.704414,61.787180000000006,70443.02581433224,617.8718,704.4302581433225
hotpotqa,1.42,1.4196197122714767,2,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
hotpotqa,1.42,1.4196197122714767,2,dram_lfu,DRAM LFU,0,295586,704414,0.295586,0.0,0.295586,0.704414,61.787180000000006,70443.02581433224,617.8718,704.4302581433225
hotpotqa,1.42,1.4196197122714767,2,opt,OPT,0,295586,704414,0.295586,0.0,0.295586,0.704414,61.787180000000006,70443.02581433224,617.8718,704.4302581433225
hotpotqa,1.42,1.4196197122714767,4,no_cache,No Cache,0,0,1000000,0.0,0.0,0.0,1.0,64.74304000000001,100001.62581433223,647.4304000000001,1000.0162581433224
